"Artikelnummer";"Name";"Kategorie";"Beschreibung";"EK";"Lieferanten Nr.";"Geändert";"VK Verkaufspreis "
"428091";"Folienblech als Randfixierung montieren ";"";"Folienbleche zur Befestigung der Flächenabdichtung am

Dachrand montieren.";"60.04";"";"21.10.25";"63.04"
"428090";"Folie FPO FLießkaschiert 1,8mm verlegen ";"";"FPO Folie mit Fließkschierung auf der Unterseite

Dicke:1,8mm,als Abdichtungslage Fachgerecht aufbringen

incl, aller Ecken und Stöße.";"65.37";"";"21.10.25";"68.64"
"428089";"Spindelhubantrieb LK 1000N";"";"Liefern und montieren von einem

Spindelhubantrieb Typ JM-DC 24 V inkl. interner

Lastabschaltung und Konsole Hubhöhe: 500 mm

Hubkraft: 1000 N Stromaufnahme: 0,8 A zulässige max.

Restwelligkeit: 5 % Schutzart: IP65 Gehäusefarbe:

Aluminium Kabellänge: 5 m";"860.5";"";"21.10.25";"903.52"
"428088";"Durchsturzgitter 120x250 montieren";"";"Lammilux - Durchsturzgitter

Typ DSG 1400, bestehend aus: verschweißten

Stahlmaschen, mit Aluminium-Zink-Legierung,

Tragstabstärke mit 4 mm Materialstärke, Maschenweite

150 mm x 150 mm Befestigung erfolgt mit flexiblen

Edelstahlhaltelaschen, zur Montage in Lamilux

Aufsatzkranz, inkl. Befestigungsmittel,

Durchsturzsicherheit geprüft nach GS-BAU-18: 2015 bis

600 Joule Bestellgröße = OKD-Maß 120 cm x 250 cm für

Ausführung in Schräggeometrie";"772.5";"";"21.10.25";"811.12"
"428087";"LAMILUX Lichtkuppel F100 W 120x250 montieren";"";"LAMILUX Lichtkuppel F100 W gewölbt im Wellendesign

für verbesserte Funktionssicherheit, höhere Stabilität und


Widerstandsfähigkeit bei extremen Wetterbedingungen,

thermisch getrennt, wärmebrückenfrei, in TIP-

Technologie als lückenlos wärmegedämmtes

Gesamtsystem.

Kunststoffverglasung, zweischalig, Schalenaufbau von

außen nach innen: opal/opal Baustoffklasse nach EN

13501: Klasse E (d0) Ausführung der Verglasung als

ausschmelzbare Fläche gemäß DIN 18230. DL-Klasse

nach DIN EN 1873 Abschnitt 5.4.2: DL5000 Ut = ca. 2,7

W/(m²K) Schalldämmwert ca. 24 dB Lichttransmission:

70 % Gesamtenergiedurchlass: 70 % Bestellgröße =

OKD-Maß 120 cm x 250 cm Die geometrisch freie

Öffnungsfläche beträgt in Verbindung mit dem

dazugehörigen Antrieb: Ageo = 1,67 m² Mit formsteifem

Kunststoffeinfassrahmen zur Begrenzung der

Brandweiterleitung nach DIN 18234-4 Sowie ein

mehrstufiges Doppeldichtungssystem Glasleiste aus

Kunststoff mit coextrudierten Dichtelementen

Ausführung: lüftbar bzw. lüftbar vorgerichtet Komplett

vormontiert auf Verbundaufsatzkranz aus

glasfaserverstärktem Polyesterharz, in geschlossener,

torsionssteifer Ausführung, weiß durchpigmentiert,

elastischer Einklebeflansch für Ausführung in

Schräggeometrie Höhe 50 cm Mit Wärmedämmung aus

PU-Hartschaum Beträgt die Dicke der tragenden

Dachschale mehr als 95 mm kann es ohne

Gegenmaßnahmen (z.B. Drehpunktverlagerung,

Distanzplatten) zur Kollision des Antriebs mit dem

Gebäude kommen.

liefern und fachgerecht montieren.

ohne Eindichten !";"3378.5";"";"21.10.25";"3547.42"
"428086";"LAMILUX Lichtkuppel F100 W 120x250 montieren ";"";"LAMILUX Lichtkuppel F100 W gewölbt im Wellendesign

für verbesserte Funktionssicherheit, höhere Stabilität und

Widerstandsfähigkeit bei extremen Wetterbedingungen,

thermisch getrennt, wärmebrückenfrei, in TIP-

Technologie als lückenlos wärmegedämmtes

Gesamtsystem.

Kunststoffverglasung, zweischalig, Schalenaufbau von

außen nach innen: opal/opal Baustoffklasse nach EN

13501: Klasse E (d0) Ausführung der Verglasung als

ausschmelzbare Fläche gemäß DIN 18230. DL-Klasse

nach DIN EN 1873 Abschnitt 5.4.2: DL5000 Ut = ca. 2,7

W/(m²K) Schalldämmwert ca. 24 dB Lichttransmission:

70 % Gesamtenergiedurchlass: 70 % Bestellgröße =

OKD-Maß 120 cm x 250 cm Die geometrisch freie

Öffnungsfläche beträgt in Verbindung mit dem

dazugehörigen Antrieb: Ageo = 1,67 m² Mit formsteifem

Kunststoffeinfassrahmen zur Begrenzung der

Brandweiterleitung nach DIN 18234-4 Sowie ein

mehrstufiges Doppeldichtungssystem Glasleiste aus

Kunststoff mit coextrudierten Dichtelementen

Ausführung: lüftbar bzw. lüftbar vorgerichtet Komplett

vormontiert auf Verbundaufsatzkranz aus

glasfaserverstärktem Polyesterharz, in geschlossener,

torsionssteifer Ausführung, weiß durchpigmentiert,

elastischer Einklebeflansch für Ausführung in

Schräggeometrie Höhe 50 cm Mit Wärmedämmung aus

PU-Hartschaum Beträgt die Dicke der tragenden

Dachschale mehr als 95 mm kann es ohne

Gegenmaßnahmen (z.B. Drehpunktverlagerung,

Distanzplatten) zur Kollision des Antriebs mit dem

Gebäude kommen.

liefern und fachgerecht montieren.

ohne Eindichten !";"3378.5";"";"21.10.25";"3547.42"
"428085";"Dampfsperre Bituminös aufbringen ";"";"Dampfsperre Bituminös aufbringen und mit Untergrund

verschweißen.

Die Anschlüsse fachgerecht ausbilden.";"38.04";"";"21.10.25";"39.94"
"428084";"Lichtkuppel Abriss ";"";"Die Alte Lichtkuppel von der Dachabdichtung Trennen und

diese vom Dach Schaffen.

Die Entsorgung der Alten Lichtkuppel erfolgt gesondert.";"173.33";"";"21.10.25";"181.99"
"428083";"Containerstellung Bitumen-Dachbahn ";"";"Containerstellung und Entsorgung für Bituminöße

Dachabdichtungsbahnen";"690";"";"21.10.25";"724.5"
"428082";"Abriss Bitumen-Dachbahn";"";"Abriss einer alten Bitumenhaltigen Dachbahn.

in Streifen Schneiden, mittels viel Kraftaufwand von der

Dachfläche Lösen, und in Container verwahren.

Die Entsorgung erfolgt gesondert";"26";"";"21.10.25";"27.3"
"428081";"Abriss Blechverwahrung ";"";"Abriss der alten Blechverwahrung, vom Dach Schaffen und

entsorgen.




Abwicklung bis 500mm";"25";"";"21.10.25";"26.25"
"428080";"Baustelleneinrichtung ";"";"Die Baustelleneinrichtung ist essenziell für einen

reibungslosen Ablauf. Sie umfasst die Bereitstellung und

Organisation von Materialien, Maschinen und

Sicherheitsmaßnahmen. Jeden Tag wird die Baustelle

neu strukturiert, um effizientes Arbeiten und höchste

Sicherheit zu gewährleisten.";"260";"";"21.10.25";"273"
"428079";"AIKO Hochleistungsmodul NEOSTAR 2S+ Dual Glass Full Black Modul A500-MAH60Db 500 W";"";"Das Aiko Solar 500W Dual Glass Full Black Modul AIKO-A500-MAH60Db der Neostar 2S+ Serie kombiniert modernste n-Typ ABC-Zelltechnologie mit einer robusten Glas-Glas-Konstruktion. Mit einem Modulwirkungsgrad von bis zu 22,6 % sorgt es für hohe Energieerträge auch bei begrenzter Dachfläche. Dank des ästhetischen Full-Black-Designs eignet sich dieses Modul hervorragend für Solaranlagen, bei denen Leistung und Design gleichermaßen zählen.Produktvorteile
- Hohe Energieausbeute auf kleinem Raum
Mit einer Maximalleistung von 500 Wp und einem Modulwirkungsgrad von 22,6 % zählt dieses Modul zu den leistungsstarken Lösungen seiner Klasse.
- Robuste Glas-Glas-Technologie
Die doppelte Glaslage (2,0 mm + 2,0 mm beschichtetes halbgehärtetes Glas) bietet zuverlässigen Schutz vor Feuchtigkeit, UV-Strahlung und mechanischen Belastungen.
- Optimierte Temperaturleistung
Der niedrige Temperaturkoeffizient von nur -0,26 %/°C bei Pmax garantiert hohe Energieerträge auch bei sommerlicher Hitze.
- Langfristige Leistungssicherheit
Mit ?1 % Leistungsverlust im ersten Jahr und maximal 0,35 % jährlicher Degradation ab dem zweiten Jahr liefert das Modul auch nach 30 Jahren noch mindestens 88,85 % der ursprünglichen Leistung.
- Zuverlässige Komponenten
Ein schwarzer, eloxierter Aluminiumrahmen, eine IP68-geschützte Anschlussdose mit 3 Bypass-Dioden sowie MC4-Evo2-Steckverbinder gewährleisten eine sichere und langlebige Funktion.Technische Spezifikationen
- Maximale Leistung (Pmax): 500 W
- Modulwirkungsgrad: 22,6 %
- Abmessungen: 1954 × 1134 × 30 mm
- Gewicht: ca. 27,2 kg
- Zelltyp: N-Typ ABC, 120 Zellen (6×20)
- Rahmen: Schwarz eloxiertes Aluminium
- Brandschutz: IEC Klasse A
- Zertifizierungen: IEC 61215, IEC 61730, IEC 61701 (Salznebel), IEC 62716 (Ammoniak)
- Hohe Widerstandsfähigkeit – Hageltest bestanden (25 mm Durchmesser bei 23 m/s)Garantie und Zertifizierungen
- 25 Jahre Produktgarantie
- 30 Jahre lineare Leistungsgarantie mit mindestens 88,85 % Restleistung nach 3 Jahrzehnten
- Zertifiziert nach internationalen Standards, ideal auch für landwirtschaftliche und küstennahe Installationen

Das Aiko Solar AIKO-A500-MAH60Db ist die perfekte Wahl für Photovoltaikprojekte, die höchste Leistung, edles Design und maximale Langlebigkeit verlangen. Setze auf Zukunftssicherheit und nachhaltige Energie – mit Aiko Neostar 2S+";"69.9";"";"17.10.25";"89.57"
"428078";"Anschluss an Hausstrom";"";"";"50";"";"15.10.25";"65"
"428077";"Modulinstallation an Balkongeländer";"";"";"68";"";"15.10.25";"88.4"
"428076";"SolarEdge ONE Wallbox 22 kW Pro SE-EVN22SEM-01 + Einbau TSG + Montage ";"";"SolarEdge ONE Ladestation Pro 
Der SolarEdge ONE EV Charger ist die neuste Wallbox im SolarEdge Ökosystem und belädt je nach Wunsch intelligent innerhalb des SolarEdge ONE Energiemanagementsystems dein Elektroauto zum Beispiel mit Überschuss aus deiner PV-Anlage oder zu den günstigsten Strompreisen am Tag. 
 Vorteile SolarEdge ONE Ladestation Pro
 
- RFID Zugangskontrolle und MID Zähler 
- Vollständig in das SolarEdge Home und die MySolarEdge App integriert 
- Mode 3 Ladestation mit bis zu 22 kW Ladeleistung 
- Fernsteuerung Start/Stop 
- ISO 15118 Plug &amp; Charge




Produkteigenschaften SolarEdge ONE Ladestation Pro 
- bis zu 22 kW Ladeleistung 
- WLAN / Ethernet 
- LTE 
- MID Zähler 
- Buchse für Ladekabel (Typ 2) 
- Kompakte Abmessungen 
- Gewicht: 2,3 kg 
- Gehäusefarbe: weiß 
- CE zertifiziert IP54, IK08 
- 1x RFID-Karte im Lieferumfang enthalten 
- Integrierter RFID-Reader

Bestandteile des Angebotes:
- Montage bis 10m inklusive. Darüber hinaus wird nach tatsächlichem Aufwand abgerechnet ( 20€ pro 1m Kabelweg, 50€ pro Durchbruch)
- Einbau TSG (Steuereinheit für den Netzbetreiber)
- ERDARBEITEN SIND BAUSEITS ZU ERLEDIGEN.";"723.75";"";"14.10.25";"1447.5"
"428075";"Unterkonstruktion Balkonkraftwerk";"";"Das Montageset für Balkone ist ein praxiserprobter Bausatz für die waagerechte (horizontale) Montage eines Photovoltaik-Solarmoduls an einem Balkon-/Geländer. Es enthält das wesentliche Befestigungsmaterial für die Erstellung der Unterkonstruktion aus Aluminium-Montageschienen und die Montage eines Solarmoduls. Die Unterkonstruktion mit dem daran befestigten Solarmodul kann man alternativ zur Befestigung an einem Geländer auch an einer Wand oder einfach auf einem Boden, einem Dach oder im Garten positionieren.

Die Unterkonstruktion ist in der Länge und im Winkel flexibel einstellbar. Der Neigungswinkel der Konstruktion lässt sich ganz bequem zwischen 10° und 45° an den bestmöglichen Sonnen-Einstrahlwinkel anpassen.";"110";"";"14.10.25";"143"
"428074";"EcoFlow STREAM Mikro-Wechselrichter für Balkonkraftwerk";"";"Der EcoFlow STREAM Mikro-Wechselrichter ist ein hocheffizientes und sicheres Gerät zur Stromumwandlung, das speziell für Hausenergiesysteme entwickelt wurde. Er wandelt die von Solarpanels erzeugte Energie direkt in nutzbaren Strom für den Haushalt um.

- Wetterfest mit IP67-Schutzklasse
- Hervorragende Leistung auch bei schwachem Licht
- Kompatibel mit 99 % aller Solarpanels auf dem Markt
- Plug-and-Play-Design für eine mühelose Installation";"99";"";"14.10.25";"128.7"
"2020";"Wechselrichter Chint 100 kW";"";"SCA 100K-T-EU
- 100 kW AC-Ausgangs-Nennleistung

- Effektivität des Systems max. 98,11% Wirkungsgrad
- 12 MPPTs
- Intelligente Lüfterkühlung

- Hohe Kompatibilität zu vielen PV-Modulen
- Schutzarten IP66 und C5
- Typ II SPD für AC als auch für DC";"2740";"";"14.10.25";"3973"
"428073";"Hanover Solar Halbzellen Solarmodul monokristallin 345 Watt";"";"Solarmodul HS345M All Black




Das monokristalline Solarmodul HS345M von Hanover Solar erreicht durch den Einsatz von 120 PERC-Halbzellen (6 x 20) in der Größe 158,85 x 158,85 mm (Zellengröße) und der Nutzung der Halbzelle-Technologie eine hervorragende Nennleistung von 345 Watt. Zudem besticht es durch eine elegante, schwarze Optik.

Abmessungen: 684x1002x30 mm";"89";"";"14.10.25";"115.7"
"428072";"POLL Einbau-Schaltschranksteckdose 1fach";"";"";"3.75";"";"13.10.25";"4.88"
"428071";"POLL Einbau-Schaltschranksteckdose 1fach";"Eletroinstallation";"Bemessungsstrom:´16 A

Bemessungsspannung: 230 V

Mit Klappdeckel: nein

Mit Kontroll-Leuchte: nein

Ausführung: Steckdose CEE 7/3 (Typ F)

Spannungsart: AC

Anzahl der Steckdosen: 1

Mit erhöhtem Berührungsschutz: nein

Schutzart (IP): IP20  ";"3.75";"";"13.10.25";"4.88"
"428070";"METZ RJ45-Stecker feldkonfektionierbar 40G field plug pro Cat. 8.1";"Eletroinstallation";"";"10.88";"";"13.10.25";"14.14"
"428069";"Huawei SUN2000 3-10KTL-M1 - Ersatzteil, 02233HNV";"Eletroinstallation";"";"50.9";"";"13.10.25";"66.17"
"428068";"FRITZ! FRITZ!Repeater 1610 Outdoor WLAN Repeater";"Eletroinstallation";"";"151.34";"";"13.10.25";"196.74"
"428067";"Fronius Symo GEN24 8.0 Plus Hybrid Wechselrichter";"";"Fronius Symo GEN24 8.0 Plus - Der Hybridwechselrichter 


Die neuen Fronius Symo GEN24 Hybrid Wechselrichter komplettieren die Leistungsklasse zwischen 6.0 und 10.0 kW. Bewährte Fronius Ausstattung wie Datalogger, Webserver, digitale Schnittstellen, WLAN, Ethernet und RS485 wurden um einen leistungsstarken Hochvoltbatterie-Anschluss mit Ersatzstromfunktion ergänzt. Die 3-phasigen Hybridgeräte eignen sich ideal für Privathaushalte.

 

 Produktvorteile
- Kompakte Bauform
- Effiziente DC Kopplung
- Hohe Be- / Entladeleistung der Batterie
- 3-phasige Ersatzstromfunktion
- Komplettes Schnittstellen-Paket
- Kostenlose Garantieverlängerung auf 10 Jahre bei online Registrierung

 Produkteigenschaften Fronius Symo GEN24 8.0 Plus 
- Netzanschluss: 3-phasig
- AC Leistung: 8,0 kVA
- MPP Tracker: 2
- Kommunikation: integrierter Datalogger mit Webserver, 2 x Ethernet, WLAN, RS485, 6 x dig. IN/OUT, 6 x dig. IN (FRE)
- Aktive Kühlung
- Abmessungen: 595 x 529 x 180 mm (H x B x T)
- Gewicht: 23,4 kg
- Schutzklasse: IP 66
- Garantie: 2 Jahre (Verlängerung auf 10 Jahre bei online Registrierung)";"1929";"";"13.10.25";"2507.7"
"428066";"Fronius Backup Switch inkl. Montage";"";"";"689";"";"12.10.25";"895.7"
"428065";"Demontage bestehendes Dach";"";"";"27.5";"";"12.10.25";"35.75"
"428063";"Anlieferung und Herstellung Unterkonstruktion Trapezblech";"";"";"35";"";"12.10.25";"45.5"
"428062";"Montagekosten Trapezprofil";"";"";"25";"";"12.10.25";"32.5"
"428061";"Trapezprofil anthrazit";"";"";"15";"";"12.10.25";"19.5"
"428060";"Modul - AIKO A470-MAH54Mw G2-Neostar 2P";"";"AIKO A470-MAH54Mw G2-Neostar 2PHöhere Leistungsabgabe des Aiko 470
- Bis zu 470 W Spitzenleistung, 23,6 % Modulwirkungsgrad
- Niedrige Degradation: 1. Jahr?1,0%, Lineare Degradation ?0,35%
- Besserer Temperaturkoeffizient: -0,26%/ ?
- Teilverschattungs-Optimierug
- Geringere Zelltemperatur bei Verschattung
- Widerstandsfähigkeit gegen Mikrorisse
- 15 Jahre Produktgarantie und 30 Jahre Leistungsgarantie";"0";"";"10.10.25";"0"
"428059";"Absicherung Wallbox";"";"";"0";"";"09.10.25";"0"
"428058";"Einbau und Material";"";"";"0";"";"09.10.25";"1000"
"428057";"SolarEdge Home Batterie Kabel-Set Turm zu Turm (Accessory Kit)";"";"Kabelset von Batterieturm zu Batterieturm für SolarEdge Home Batterie-Niedervolt

Mit den vor konfektionierten Kabel lassen sich mehrere SolarEdge Home Batterie-Türme verbinden

Produktumfang:
- Plus &amp; Minus Kabel
- Erdungskabel
- Kommunikationskabel  

Die Kabellänge Turm zu Turm liegt bei 2,5m.

Die Länge gilt für:

1 x RJ45

1 x Erdungskabel

1 x schwarzes DC-Kabel

1 x rotes DC-Kabel";"113.06";"";"09.10.25";"146.98"
"428056";"SolarEdge Home Batterie-Niedervolt Bodenplatte";"";"SolarEdge Home Batterie-Niedervolt Bodenplatte und Halterung zum Aufstellen der Batterie
- Mit dieser Bodenplatte können Sie die SolarEdge Energy Bank aufstellen. Bodenmontage mit Wandbefestigung (keine reine Wandhalterung!) ";"109";"";"09.10.25";"141.7"
"428055";"Überspannungsschutz SLS 35";"";"";"0";"";"08.10.25";"120"
"1028";"SolarEdge 10 kW Wechselrichter ";"WR";"- SolarEdge SolarEdge SE10K-RW0TEBEN4 oder vergleichbar 

- Nur für SolarEdge Optimierer ausgelegter Wechselrichter 

- DC-Nennspannung 750 Vdc Sehr hoher Wirkungsgrad von bis zu 98 % 

- Anschlüsse für Rundsteuerempfänger 

- Optional WiFi, ZigBee Gateway oder GSM 

- 12 Jahre Herstellergarantie";"904.45";"";"06.10.25";"1266.23"
"428050";"Fronius Verto Plus 25.0";"";"Produktvorteile Fronius Verto Plus 25.0
- Dreiphasige Notstromversorgung für das gesamte Gebäude dank Batteriespeicher-Anbindung
- Hohe Flexibilität durch drei starke MPP-Tracker und breiten Spannungsbereich
- Maximale Sicherheit mit integrierter Lichtbogenerkennung (Arc Guard Technology) und Überspannungsschutz (DC Typ 1+2, AC Typ 2)
- Optimale Erträge bei Verschattung dank Dynamic Peak Manager
- Offene Schnittstellen für einfache Integration in Energiemanagement-Systeme und von z.B. Fronius Wattpilot Flex oder Fronius Ohmpilot
- Robustes Gehäuse (IP66) für Innen- und Außenmontage
- Integrierte Schnittstelle für Rundsteuerempfänger
- Flexible Montage (10°–90° Neigung) Produkteigenschaften Fronius Verto Plus 25.0
- Netzanschluss: 3-phasig
- AC-Nennleistung: 25,0 kVA
- Max. nutzbare DC-Eingangsleistung: 33,25 kWp
- MPP Tracker: 3, je zwei DC-Anschlüsse
- Max. Eingangsstrom pro MPPT: 28 A
- Max. Kurzschlussstrom pro MPPT: 50 A
- DC-Eingangsspannungsbereich: 150 – 870 V
- Batterieanschluss: 1 DC-Eingang, max. 33,25 kW Ladeleistung
- Abmessungen: 865 × 574 × 279 mm (H x B x T)
- Gewicht: 43 kg
- Schutzklasse: IP66
- Kommunikation: WLAN, LAN RJ45, 2 x RS485, 6 x dig. IN/OUT, 6 x dig. IN (FRE)
- Garantie: 2 Jahre – kostenlos auf 5 Jahre erweiterbar bei Online-Registrierung über Fronius Solar.web";"3415";"";"30.09.25";"4439.5"
"428054";"enwitec Netzumschaltbox Powerbackup 63 Verto Plus DE";"";"Produktvorteile
- Zuverlässige Netztrennung bei Stromausfall
- allpolige oder dreipolige Netztrennung
- Integrierter Fronius Smart Meter mit Touchscreen
- Flexibel konfigurierbar für TN-C/S-, TN-S- und TT-Netze
- Kompatibel mit FRONIUS – VERTO PLUS 15.0/17.5/20.0/25.0/30.0/33.3
- Kompletter Lieferumfang für einfache Installation
- Geringer Eigenverbrauch von nur ca. 14 Watt im Standby Produkteigenschaften
- Länderverfügbarkeit: DE und CH
- Bemessungsspannung: 3PH 230/400 V
- Max. netzseitige Vorsicherung: 63 A
- Schutzklasse: II (Schutzisolierung)
- Schutzart: IP30 (für Innenbereich)
- Betriebstemperaturbereich: -5 °C bis +35 °C
- Gewicht: ca. 7,6 kg
- Maße (BxHxT): 315 x 600 x 155 mm
- Montageart: Wandmontage";"965";"";"30.09.25";"1254.5"
"428053";"Fronius Smart Meter TS 65A-3 direkt, 3-phasig";"";"";"166";"";"30.09.25";"215.8"
